Date,Model,Count
27-Aug-16,M126,1
27-Aug-16,M68,1
27-Aug-16,M22,216
27-Aug-16,M64,27
27-Aug-16,M36,1
27-Aug-16,M16,199
27-Aug-16,M56,4
27-Aug-16,M105,1
27-Aug-16,M18,2744
27-Aug-16,M48,5
27-Aug-16,M43,1
27-Aug-16,M9,8
27-Aug-16,M7,5
27-Aug-16,M28,37
27-Aug-16,M92,1
27-Aug-16,M86,2
27-Aug-16,M62,10
27-Aug-16,M125,1
27-Aug-16,M66,71
27-Aug-16,M79,73
27-Aug-16,M14,672
27-Aug-16,M70,1
27-Aug-16,M82,37
27-Aug-16,M90,31
27-Aug-16,M76,1
27-Aug-16,M51,6
27-Aug-16,M123,26
27-Aug-16,M107,5
27-Aug-16,M41,60
27-Aug-16,M93,6
27-Aug-16,M119,1
27-Aug-16,M85,2
27-Aug-16,M61,1
27-Aug-16,M45,2
27-Aug-16,M25,960
27-Aug-16,M19,441
27-Aug-16,M102,4
27-Aug-16,M71,7
27-Aug-16,M24,672
27-Aug-16,M32,26
27-Aug-16,M95,2
27-Aug-16,M57,1
27-Aug-16,M23,637
27-Aug-16,M8,180
27-Aug-16,M53,9
27-Aug-16,M112,25
27-Aug-16,M30,4
27-Aug-16,M100,49
27-Aug-16,M116,4
27-Aug-16,M69,1
27-Aug-16,M99,3
26-Aug-16,M117,8
26-Aug-16,M61,3
26-Aug-16,M79,73
26-Aug-16,M94,4
26-Aug-16,M14,527
26-Aug-16,M45,3
26-Aug-16,M85,1
26-Aug-16,M4,248
26-Aug-16,M108,3
26-Aug-16,M57,4
26-Aug-16,M82,53
26-Aug-16,M5,15
26-Aug-16,M99,1
26-Aug-16,M115,1
26-Aug-16,M51,7
26-Aug-16,M23,1079
26-Aug-16,M107,8
26-Aug-16,M81,4
26-Aug-16,M73,32
26-Aug-16,M15,21
26-Aug-16,M41,67
26-Aug-16,M95,2
26-Aug-16,M122,1
26-Aug-16,M56,1
26-Aug-16,M102,1
26-Aug-16,M8,171
26-Aug-16,M98,1
26-Aug-16,M60,1
26-Aug-16,M100,32
26-Aug-16,M62,6
26-Aug-16,M52,1
26-Aug-16,M90,23
26-Aug-16,M27,1
26-Aug-16,M97,1
26-Aug-16,M28,41
26-Aug-16,M70,1
26-Aug-16,M71,7
26-Aug-16,M120,1
26-Aug-16,M43,3
26-Aug-16,M13,15
26-Aug-16,M112,25
26-Aug-16,M66,64
26-Aug-16,M36,2
26-Aug-16,M87,2
26-Aug-16,M30,2
26-Aug-16,M32,41
26-Aug-16,M121,3
26-Aug-16,M22,288
26-Aug-16,M6,83
26-Aug-16,M77,75
26-Aug-16,M17,55
26-Aug-16,M25,870
26-Aug-16,M93,9
26-Aug-16,M31,34
26-Aug-16,M72,27
26-Aug-16,M39,7
26-Aug-16,M91,12
26-Aug-16,M105,2
26-Aug-16,M18,2280
26-Aug-16,M76,4
26-Aug-16,M19,243
26-Aug-16,M69,4
26-Aug-16,M50,2
26-Aug-16,M116,3
26-Aug-16,M7,10
26-Aug-16,M126,1
26-Aug-16,M78,138
26-Aug-16,M67,63
26-Aug-16,M48,6
26-Aug-16,M37,3
26-Aug-16,M20,340
26-Aug-16,M24,560
26-Aug-16,M63,5
26-Aug-16,M44,2
26-Aug-16,M123,23
26-Aug-16,M64,30
26-Aug-16,M53,12
26-Aug-16,M68,4
26-Aug-16,M65,21
26-Aug-16,M96,26
26-Aug-16,M109,10
26-Aug-16,M84,170
26-Aug-16,M89,5
26-Aug-16,M16,212
26-Aug-16,M11,122
26-Aug-16,M2,1
26-Aug-16,M92,2
26-Aug-16,M9,13
26-Aug-16,M40,47
26-Aug-16,M75,6
26-Aug-16,M86,1
26-Aug-16,M10,44
26-Aug-16,M35,1
26-Aug-16,M21,33
25-Aug-16,M45,4
25-Aug-16,M79,86
25-Aug-16,M31,42
25-Aug-16,M32,32
25-Aug-16,M95,2
25-Aug-16,M105,2
25-Aug-16,M110,1
25-Aug-16,M116,6
25-Aug-16,M87,5
25-Aug-16,M66,56
25-Aug-16,M8,157
25-Aug-16,M71,3
25-Aug-16,M9,12
25-Aug-16,M80,1
25-Aug-16,M41,74
25-Aug-16,M107,4
25-Aug-16,M69,1
25-Aug-16,M67,77
25-Aug-16,M72,18
25-Aug-16,M112,33
25-Aug-16,M11,109
25-Aug-16,M115,1
25-Aug-16,M84,84
25-Aug-16,M20,320
25-Aug-16,M18,2824
25-Aug-16,M37,1
25-Aug-16,M5,18
25-Aug-16,M4,253
25-Aug-16,M76,6
25-Aug-16,M38,1
25-Aug-16,M6,87
25-Aug-16,M30,6
25-Aug-16,M91,14
25-Aug-16,M60,1
25-Aug-16,M85,2
25-Aug-16,M39,10
25-Aug-16,M108,6
25-Aug-16,M7,8
25-Aug-16,M89,4
25-Aug-16,M61,5
25-Aug-16,M81,3
25-Aug-16,M90,53
25-Aug-16,M13,20
25-Aug-16,M28,50
25-Aug-16,M14,621
25-Aug-16,M93,3
25-Aug-16,M94,4
25-Aug-16,M117,16
25-Aug-16,M57,4
25-Aug-16,M63,5
25-Aug-16,M2,3
25-Aug-16,M64,21
25-Aug-16,M55,1
25-Aug-16,M100,37
25-Aug-16,M121,2
25-Aug-16,M48,5
25-Aug-16,M68,1
25-Aug-16,M17,57
25-Aug-16,M62,6
25-Aug-16,M23,1014
25-Aug-16,M52,1
25-Aug-16,M96,15
25-Aug-16,M77,107
25-Aug-16,M53,16
25-Aug-16,M44,1
25-Aug-16,M78,157
25-Aug-16,M40,57
25-Aug-16,M56,3
25-Aug-16,M122,1
25-Aug-16,M82,47
25-Aug-16,M73,40
25-Aug-16,M15,18
25-Aug-16,M126,1
25-Aug-16,M16,192
25-Aug-16,M19,279
25-Aug-16,M123,28
25-Aug-16,M22,192
25-Aug-16,M25,645
25-Aug-16,M65,30
25-Aug-16,M109,15
25-Aug-16,M21,11
25-Aug-16,M75,3
25-Aug-16,M51,7
25-Aug-16,M120,1
25-Aug-16,M10,63
25-Aug-16,M86,2
25-Aug-16,M24,518
25-Aug-16,M125,1
24-Aug-16,M76,5
24-Aug-16,M45,3
24-Aug-16,M31,30
24-Aug-16,M72,15
24-Aug-16,M36,3
24-Aug-16,M119,1
24-Aug-16,M91,8
24-Aug-16,M18,3152
24-Aug-16,M69,3
24-Aug-16,M120,2
24-Aug-16,M78,140
24-Aug-16,M67,91
24-Aug-16,M121,7
24-Aug-16,M112,36
24-Aug-16,M20,290
24-Aug-16,M8,170
24-Aug-16,M63,2
24-Aug-16,M116,3
24-Aug-16,M115,4
24-Aug-16,M1,1
24-Aug-16,M28,44
24-Aug-16,M65,27
24-Aug-16,M17,52
24-Aug-16,M87,4
24-Aug-16,M52,1
24-Aug-16,M2,4
24-Aug-16,M50,1
24-Aug-16,M107,7
24-Aug-16,M9,12
24-Aug-16,M66,71
24-Aug-16,M124,1
24-Aug-16,M84,11
24-Aug-16,M5,20
24-Aug-16,M13,20
24-Aug-16,M105,1
24-Aug-16,M95,3
24-Aug-16,M122,1
24-Aug-16,M25,795
24-Aug-16,M90,25
24-Aug-16,M37,2
24-Aug-16,M11,148
24-Aug-16,M15,24
24-Aug-16,M117,18
24-Aug-16,M7,3
24-Aug-16,M10,59
24-Aug-16,M64,33
24-Aug-16,M44,2
24-Aug-16,M38,1
24-Aug-16,M71,6
24-Aug-16,M41,84
24-Aug-16,M48,9
24-Aug-16,M24,588
24-Aug-16,M19,378
24-Aug-16,M93,4
24-Aug-16,M97,1
24-Aug-16,M16,241
24-Aug-16,M100,40
24-Aug-16,M108,4
24-Aug-16,M86,1
24-Aug-16,M109,5
24-Aug-16,M89,6
24-Aug-16,M62,7
24-Aug-16,M88,1
24-Aug-16,M23,962
24-Aug-16,M57,2
24-Aug-16,M73,49
24-Aug-16,M94,2
24-Aug-16,M61,1
24-Aug-16,M22,312
24-Aug-16,M92,2
24-Aug-16,M82,42
24-Aug-16,M75,7
24-Aug-16,M14,497
24-Aug-16,M51,3
24-Aug-16,M127,1
24-Aug-16,M99,1
24-Aug-16,M4,274
24-Aug-16,M123,16
24-Aug-16,M70,1
24-Aug-16,M53,12
24-Aug-16,M39,9
24-Aug-16,M30,5
24-Aug-16,M32,37
24-Aug-16,M21,33
24-Aug-16,M77,101
24-Aug-16,M6,115
24-Aug-16,M79,79
24-Aug-16,M40,48
24-Aug-16,M56,3
24-Aug-16,M96,19
23-Aug-16,M117,14
23-Aug-16,M24,658
23-Aug-16,M7,9
23-Aug-16,M123,23
23-Aug-16,M51,13
23-Aug-16,M10,45
23-Aug-16,M107,12
23-Aug-16,M68,4
23-Aug-16,M75,6
23-Aug-16,M77,104
23-Aug-16,M57,3
23-Aug-16,M82,48
23-Aug-16,M93,3
23-Aug-16,M23,1066
23-Aug-16,M5,28
23-Aug-16,M71,5
23-Aug-16,M70,1
23-Aug-16,M89,6
23-Aug-16,M22,312
23-Aug-16,M96,23
23-Aug-16,M73,41
23-Aug-16,M100,34
23-Aug-16,M108,7
23-Aug-16,M15,28
23-Aug-16,M99,1
23-Aug-16,M8,194
23-Aug-16,M127,1
23-Aug-16,M90,21
23-Aug-16,M64,37
23-Aug-16,M84,5
23-Aug-16,M62,4
23-Aug-16,M92,1
23-Aug-16,M19,405
23-Aug-16,M87,6
23-Aug-16,M53,11
23-Aug-16,M81,1
23-Aug-16,M120,2
23-Aug-16,M45,4
23-Aug-16,M85,1
23-Aug-16,M113,2
23-Aug-16,M4,319
23-Aug-16,M2,5
23-Aug-16,M11,173
23-Aug-16,M94,2
23-Aug-16,M25,855
23-Aug-16,M40,55
23-Aug-16,M122,3
23-Aug-16,M65,34
23-Aug-16,M41,76
23-Aug-16,M66,84
23-Aug-16,M14,345
23-Aug-16,M18,3368
23-Aug-16,M1,2
23-Aug-16,M32,32
23-Aug-16,M67,99
23-Aug-16,M76,2
23-Aug-16,M9,10
23-Aug-16,M112,24
23-Aug-16,M31,36
23-Aug-16,M116,3
23-Aug-16,M79,83
23-Aug-16,M39,10
23-Aug-16,M36,4
23-Aug-16,M59,1
23-Aug-16,M44,1
23-Aug-16,M20,350
23-Aug-16,M109,13
23-Aug-16,M121,2
23-Aug-16,M91,21
23-Aug-16,M27,1
23-Aug-16,M105,1
23-Aug-16,M17,42
23-Aug-16,M63,1
23-Aug-16,M6,97
23-Aug-16,M48,6
23-Aug-16,M52,2
23-Aug-16,M16,240
23-Aug-16,M72,13
23-Aug-16,M13,17
23-Aug-16,M28,38
23-Aug-16,M78,138
23-Aug-16,M37,1
22-Aug-16,M48,8
22-Aug-16,M87,1
22-Aug-16,M32,27
22-Aug-16,M107,8
22-Aug-16,M112,17
22-Aug-16,M52,1
22-Aug-16,M65,24
22-Aug-16,M105,3
22-Aug-16,M8,202
22-Aug-16,M30,2
22-Aug-16,M120,2
22-Aug-16,M115,1
22-Aug-16,M121,5
22-Aug-16,M25,840
22-Aug-16,M81,2
22-Aug-16,M50,2
22-Aug-16,M39,14
22-Aug-16,M119,1
22-Aug-16,M63,1
22-Aug-16,M91,17
22-Aug-16,M69,1
22-Aug-16,M2,9
22-Aug-16,M13,18
22-Aug-16,M89,10
22-Aug-16,M109,11
22-Aug-16,M28,49
22-Aug-16,M18,3432
22-Aug-16,M9,4
22-Aug-16,M36,2
22-Aug-16,M116,4
22-Aug-16,M1,3
22-Aug-16,M37,2
22-Aug-16,M78,138
22-Aug-16,M24,644
22-Aug-16,M86,5
22-Aug-16,M62,3
22-Aug-16,M44,3
22-Aug-16,M66,73
22-Aug-16,M31,17
22-Aug-16,M20,390
22-Aug-16,M72,21
22-Aug-16,M40,46
22-Aug-16,M117,10
22-Aug-16,M71,6
22-Aug-16,M123,23
22-Aug-16,M67,92
22-Aug-16,M41,81
22-Aug-16,M56,1
22-Aug-16,M95,2
22-Aug-16,M127,1
22-Aug-16,M76,8
22-Aug-16,M22,240
22-Aug-16,M10,66
22-Aug-16,M96,23
22-Aug-16,M53,16
22-Aug-16,M16,276
22-Aug-16,M99,1
22-Aug-16,M75,5
22-Aug-16,M57,4
22-Aug-16,M70,1
22-Aug-16,M15,32
22-Aug-16,M11,136
22-Aug-16,M122,1
22-Aug-16,M79,73
22-Aug-16,M59,1
22-Aug-16,M19,378
22-Aug-16,M23,1131
22-Aug-16,M5,29
22-Aug-16,M6,123
22-Aug-16,M88,2
22-Aug-16,M51,9
22-Aug-16,M77,125
22-Aug-16,M45,5
22-Aug-16,M94,3
22-Aug-16,M73,48
22-Aug-16,M17,52
22-Aug-16,M100,30
22-Aug-16,M90,38
22-Aug-16,M93,9
22-Aug-16,M7,5
22-Aug-16,M4,355
22-Aug-16,M68,3
22-Aug-16,M64,26
22-Aug-16,M21,33
22-Aug-16,M14,117
22-Aug-16,M61,3
22-Aug-16,M82,49
22-Aug-16,M108,6
21-Aug-16,M11,120
21-Aug-16,M96,25
21-Aug-16,M94,2
21-Aug-16,M22,396
21-Aug-16,M21,22
21-Aug-16,M68,1
21-Aug-16,M24,448
21-Aug-16,M6,120
21-Aug-16,M59,1
21-Aug-16,M75,8
21-Aug-16,M99,3
21-Aug-16,M44,1
21-Aug-16,M17,48
21-Aug-16,M4,323
21-Aug-16,M92,1
21-Aug-16,M123,30
21-Aug-16,M56,4
21-Aug-16,M53,9
21-Aug-16,M10,58
21-Aug-16,M107,5
21-Aug-16,M93,9
21-Aug-16,M112,31
21-Aug-16,M108,7
21-Aug-16,M79,88
21-Aug-16,M19,315
21-Aug-16,M8,166
21-Aug-16,M89,4
21-Aug-16,M7,7
21-Aug-16,M78,109
21-Aug-16,M23,910
21-Aug-16,M32,29
21-Aug-16,M39,7
21-Aug-16,M62,5
21-Aug-16,M72,25
21-Aug-16,M97,1
21-Aug-16,M87,3
21-Aug-16,M60,2
21-Aug-16,M88,1
21-Aug-16,M90,43
21-Aug-16,M77,120
21-Aug-16,M51,7
21-Aug-16,M125,1
21-Aug-16,M117,15
21-Aug-16,M15,23
21-Aug-16,M52,1
21-Aug-16,M28,37
21-Aug-16,M71,6
21-Aug-16,M5,20
21-Aug-16,M16,225
21-Aug-16,M64,29
21-Aug-16,M95,3
21-Aug-16,M45,5
21-Aug-16,M73,58
21-Aug-16,M100,36
21-Aug-16,M82,46
21-Aug-16,M40,43
21-Aug-16,M14,12
21-Aug-16,M30,2
21-Aug-16,M9,10
21-Aug-16,M116,2
21-Aug-16,M37,3
21-Aug-16,M66,88
21-Aug-16,M85,3
21-Aug-16,M105,2
21-Aug-16,M41,58
21-Aug-16,M18,3016
21-Aug-16,M31,27
21-Aug-16,M63,3
21-Aug-16,M109,9
21-Aug-16,M121,4
21-Aug-16,M119,1
21-Aug-16,M76,7
21-Aug-16,M20,310
21-Aug-16,M48,9
21-Aug-16,M2,4
21-Aug-16,M57,5
21-Aug-16,M111,1
21-Aug-16,M67,80
21-Aug-16,M65,26
21-Aug-16,M25,720
21-Aug-16,M69,1
21-Aug-16,M13,22
21-Aug-16,M91,13
21-Aug-16,M49,1
20-Aug-16,M27,2
20-Aug-16,M112,24
20-Aug-16,M43,1
20-Aug-16,M81,1
20-Aug-16,M115,1
20-Aug-16,M72,12
20-Aug-16,M121,2
20-Aug-16,M66,84
20-Aug-16,M118,1
20-Aug-16,M120,1
20-Aug-16,M80,1
20-Aug-16,M50,1
20-Aug-16,M87,7
20-Aug-16,M63,3
20-Aug-16,M109,9
20-Aug-16,M31,25
20-Aug-16,M78,140
20-Aug-16,M20,330
20-Aug-16,M18,3632
20-Aug-16,M16,269
20-Aug-16,M53,18
20-Aug-16,M19,423
20-Aug-16,M65,27
20-Aug-16,M85,2
20-Aug-16,M91,12
20-Aug-16,M22,384
20-Aug-16,M76,4
20-Aug-16,M8,205
20-Aug-16,M10,67
20-Aug-16,M26,3
20-Aug-16,M107,10
20-Aug-16,M9,10
20-Aug-16,M67,99
20-Aug-16,M32,39
20-Aug-16,M30,2
20-Aug-16,M100,42
20-Aug-16,M61,2
20-Aug-16,M25,900
20-Aug-16,M39,13
20-Aug-16,M40,49
20-Aug-16,M28,38
20-Aug-16,M59,1
20-Aug-16,M82,53
20-Aug-16,M13,19
20-Aug-16,M37,1
20-Aug-16,M105,5
20-Aug-16,M2,11
20-Aug-16,M11,155
20-Aug-16,M117,12
20-Aug-16,M4,366
20-Aug-16,M15,19
20-Aug-16,M48,3
20-Aug-16,M24,868
20-Aug-16,M5,19
20-Aug-16,M21,22
20-Aug-16,M96,32
20-Aug-16,M126,3
20-Aug-16,M77,136
20-Aug-16,M122,1
20-Aug-16,M6,133
20-Aug-16,M95,1
20-Aug-16,M97,3
20-Aug-16,M17,55
20-Aug-16,M71,5
20-Aug-16,M93,11
20-Aug-16,M41,100
20-Aug-16,M57,4
20-Aug-16,M89,11
20-Aug-16,M45,3
20-Aug-16,M23,1027
20-Aug-16,M73,48
20-Aug-16,M90,26
20-Aug-16,M56,1
20-Aug-16,M64,42
20-Aug-16,M7,9
20-Aug-16,M36,1
20-Aug-16,M75,4
20-Aug-16,M68,1
20-Aug-16,M51,11
20-Aug-16,M92,2
20-Aug-16,M116,4
20-Aug-16,M62,7
20-Aug-16,M79,90
20-Aug-16,M94,5
20-Aug-16,M55,1
20-Aug-16,M123,29
20-Aug-16,M108,8
20-Aug-16,M70,1
19-Aug-16,M95,4
